,est,y_sample,date
3807,186.86643815286502,188.2556,2019-04-01
3808,188.09645153430245,190.9922,2019-04-02
3809,190.7000001895277,192.3015,2019-04-03
3810,192.15808500160267,192.6362,2019-04-04
3811,192.5944624875541,193.9257,2019-04-05
3812,193.78809639025673,196.9773,2019-04-08
3813,196.68011478045554,196.3867,2019-04-09
3814,196.41083971863887,197.4892,2019-04-10
3815,197.41370033809363,195.8453,2019-04-11
3816,196.06103154492394,195.7665,2019-04-12
3817,195.9049681697431,196.1209,2019-04-15
3818,196.0917832835789,196.1406,2019-04-16
3819,196.13352502306907,199.9601,2019-04-17
3820,199.66006689936512,200.6787,2019-04-18
3821,200.53558291894996,201.3382,2019-04-22
3822,201.26575479625427,204.2422,2019-04-23
3823,203.95821197247332,203.9272,2019-04-24
3824,203.90646333084504,202.0765,2019-04-25
3825,202.4792894911079,201.1118,2019-04-26
3826,201.40489599225353,201.417,2019-04-29
3827,201.4417450241948,197.5384,2019-04-30
3828,198.29721347112348,207.2347,2019-05-01
3829,206.48359288882023,205.8861,2019-05-02
3830,205.924315159506,208.4455,2019-05-03
3831,208.3049168003048,205.2266,2019-05-06
3832,205.62887054842696,199.6943,2019-05-07
3833,200.84805267519488,199.7336,2019-05-08
3834,200.17340355235086,197.5877,2019-05-09
3835,198.02306042671535,194.8609,2019-05-10
3836,195.436572494294,183.5357,2019-05-13
3837,186.06784791356378,186.4411,2019-05-14
3838,187.0543034644664,188.6745,2019-05-15
3839,188.39971635080403,187.8444,2019-05-16
3840,187.8396713394179,186.7771,2019-05-17
3841,187.00291788355,180.9366,2019-05-20
3842,182.21132579999872,184.4053,2019-05-21
3843,184.28526780877237,180.6303,2019-05-22
3844,181.02336703088358,177.547,2019-05-23
3845,178.33661306826974,176.8651,2019-05-24
3846,177.23230271983334,176.1338,2019-05-28
3847,176.29388355205018,175.2938,2019-05-29
3848,175.48038884114516,176.203,2019-05-30
3849,176.1854087240035,173.0109,2019-05-31
3850,173.544761912541,171.2618,2019-06-03
3851,171.77602045213848,177.5272,2019-06-04
3852,177.0758840197511,180.3931,2019-06-05
3853,180.1075006399216,183.0416,2019-06-06
3854,182.7484178775604,187.9136,2019-06-07
3855,187.42599467327133,190.315,2019-06-10
